dataTime,total,MB_t,MK_t,MS_t,MB_c,MK_c,MS_c
2016011708.0,258603.0,18526.0,0.0,293.0,6.0,0.0,1.0
2016011709.0,488821.0,85075.0,9528.0,170794.0,6.0,2.0,1.0
2016011710.0,447672.0,56738.0,4384.0,183394.0,3.0,4.0,3.0
2016011711.0,117368.0,162.0,9962.0,22182.0,1.0,2.0,4.0
2016011712.0,318411.0,13307.0,13628.0,9913.0,3.0,5.0,2.0
2016011713.0,423877.0,12366.0,40466.0,237457.0,4.0,1.0,4.0
2016011714.0,671892.0,17718.0,341652.0,1535.0,5.0,3.0,1.0
2016011715.0,171570.0,96121.0,6412.0,465.0,3.0,2.0,1.0
2016011716.0,213353.0,146418.0,1590.0,0.0,5.0,1.0,0.0
2016011717.0,721491.0,556.0,3180.0,104.0,3.0,2.0,1.0
2016011718.0,372236.08,205754.0,532.0,223.0,10.0,1.0,1.0
2016011719.0,449437.0,11642.0,0.0,236712.0,3.0,0.0,2.0
2016011720.0,396224.0,100018.0,0.0,265639.0,3.0,0.0,4.0
2016011721.0,113953.0,75.0,7406.0,0.0,1.0,1.0,0.0
2016011722.0,205425.0,4615.0,0.0,185448.0,3.0,0.0,3.0
2016011723.0,294399.0,111139.0,0.0,180663.0,2.0,0.0,4.0
2016011724.0,228555.0,14025.0,0.0,0.0,4.0,0.0,0.0
2016011801.0,284507.0,3510.0,68.0,258575.0,2.0,1.0,5.0
2016011802.0,27880.0,98.0,0.0,75.0,2.0,0.0,1.0
2016011803.0,71084.0,29362.0,0.0,0.0,2.0,0.0,0.0
2016011804.0,108303.0,0.0,0.0,3140.0,0.0,0.0,1.0
2016011805.0,181758.0,0.0,0.0,176733.0,0.0,0.0,3.0
2016011806.0,130252.43,112983.0,0.0,0.0,2.0,0.0,0.0
2016011807.0,311800.0,8726.0,9311.0,151293.0,4.0,2.0,2.0
2016011808.0,235702.0,29394.0,12676.0,65918.0,5.0,2.0,1.0
2016011809.0,694042.0,97910.0,54.0,9176.0,10.0,1.0,2.0
2016011810.0,911616.0,194756.0,54.0,182947.0,8.0,1.0,5.0
2016011811.0,160003.0,28657.0,9192.0,7762.0,3.0,2.0,1.0
2016011812.0,458720.0,89215.0,15837.0,0.0,4.0,4.0,0.0
2016011813.0,247362.0,59103.0,19961.0,70283.0,5.0,1.0,2.0
2016011814.0,113838.0,31892.0,13876.0,7635.0,5.0,3.0,3.0
2016011815.0,208489.45,33426.0,9179.0,21815.0,3.0,2.0,3.0
2016011816.0,288603.86,22424.0,85150.43,0.0,4.0,6.0,0.0
2016011817.0,322967.86,35307.0,11136.86,5770.0,7.0,6.0,1.0
2016011818.0,133518.43,22397.0,7170.0,0.0,6.0,1.0,0.0
2016011819.0,226868.0,86309.0,1372.0,629.0,2.0,1.0,2.0
